
Name                                                           Version          Vendor                      
Update for x64-based Windows Systems (KB5001716)               8.94.0.0         Microsoft Corporation       
vcpp_crt.redist.clickonce                                      14.29.30157      Microsoft Corporation       
Verbatim_SureFireGaming_Product                                1.0.3.11         Verbatim                    
Verifica‡Æo de integridade do PC Windows                       3.6.2204.08001   Microsoft Corporation       
vs_FileTracker_Singleton                                       16.11.34827      Microsoft Corporation       
WD P40 Game Drive                                              1.0.2.18         Western Digital Corporation 
WD_BLACK AN1500                                                1.0.12.0         ENE TECHNOLOGY INC.         
WD_BLACK D50                                                   1.0.9.0          ENE TECHNOLOGY INC.         
WinAppDeploy                                                   10.1.19041.5609  Microsoft Corporation       
Windows App Certification Kit Native Components                10.1.19041.5609  Microsoft Corporation       
Windows App Certification Kit SupportedApiList x86             10.1.19041.5609  Microsoft Corporation       
Windows App Certification Kit x64                              10.1.19041.5609  Microsoft Corporation       
Windows Desktop Extension SDK                                  10.1.19041.5609  Microsoft Corporation       
Windows Desktop Extension SDK Contracts                        10.1.19041.5609  Microsoft Corporation       
Windows IoT Extension SDK                                      10.1.19041.5609  Microsoft Corporation       
Windows IoT Extension SDK Contracts                            10.1.19041.5609  Microsoft Corporation       
Windows Mobile Extension SDK                                   10.1.19041.5609  Microsoft Corporation       
Windows Mobile Extension SDK Contracts                         10.1.19041.5609  Microsoft Corporation       
Windows SDK                                                    10.1.19041.5609  Microsoft Corporation       
Windows SDK AddOn                                              10.1.0.0         Microsoft Corporation       
Windows SDK ARM Desktop Tools                                  10.1.19041.5609  Microsoft Corporation       
Windows SDK Desktop Headers arm                                10.1.19041.5609  Microsoft Corporation       
Windows SDK Desktop Headers arm64                              10.1.19041.5609  Microsoft Corporation       
Windows SDK Desktop Headers x64                                10.1.19041.5609  Microsoft Corporation       
Windows SDK Desktop Headers x86                                10.1.19041.5609  Microsoft Corporation       
Windows SDK Desktop Libs arm                                   10.1.19041.5609  Microsoft Corporation       
Windows SDK Desktop Libs arm64                                 10.1.19041.5609  Microsoft Corporation       
Windows SDK Desktop Libs x64                                   10.1.19041.5609  Microsoft Corporation       
Windows SDK Desktop Libs x86                                   10.1.19041.5609  Microsoft Corporation       
Windows SDK Desktop Tools arm64                                10.1.19041.5609  Microsoft Corporation       
Windows SDK Desktop Tools x64                                  10.1.19041.5609  Microsoft Corporation       
Windows SDK Desktop Tools x86                                  10.1.19041.5609  Microsoft Corporation       
Windows SDK DirectX x64 Remote                                 10.1.19041.5609  Microsoft Corporation       
Windows SDK DirectX x86 Remote                                 10.1.19041.5609  Microsoft Corporation       
Windows SDK EULA                                               10.1.19041.5609  Microsoft Corporations      
Windows SDK Facade Windows WinMD Versioned                     10.1.19041.5609  Microsoft Corporation       
Windows SDK for Windows Store Apps                             10.1.19041.5609  Microsoft Corporation       
Windows SDK for Windows Store Apps Contracts                   10.1.19041.5609  Microsoft Corporation       
Windows SDK for Windows Store Apps DirectX x86 Remote          10.1.19041.5609  Microsoft Corporation       
Windows SDK for Windows Store Apps Headers                     10.1.19041.5609  Microsoft Corporation       
Windows SDK for Windows Store Apps Libs                        10.1.19041.5609  Microsoft Corporation       
Windows SDK for Windows Store Apps Metadata                    10.1.19041.5609  Microsoft Corporation       
Windows SDK for Windows Store Apps Tools                       10.1.19041.5609  Microsoft Corporation       
Windows SDK for Windows Store Managed Apps Libs                10.1.19041.5609  Microsoft Corporation       
Windows SDK Modern Non-Versioned Developer Tools               10.1.19041.5609  Microsoft Corporation       
Windows SDK Modern Versioned Developer Tools                   10.1.19041.5609  Microsoft Corporation       
Windows SDK Redistributables                                   10.1.19041.5609  Microsoft Corporation       
Windows SDK Signing Tools                                      10.1.19041.5609  Microsoft Corporation       
Windows Team Extension SDK                                     10.1.19041.5609  Microsoft Corporation       
Windows Team Extension SDK Contracts                           10.1.19041.5609  Microsoft Corporation       
WinRT Intellisense Desktop - en-us                             10.1.19041.5609  Microsoft Corporation       
WinRT Intellisense Desktop - Other Languages                   10.1.19041.5609  Microsoft Corporation       
WinRT Intellisense IoT - en-us                                 10.1.19041.5609  Microsoft Corporation       
WinRT Intellisense IoT - Other Languages                       10.1.19041.5609  Microsoft Corporation       
WinRT Intellisense Mobile - en-us                              10.1.19041.5609  Microsoft Corporation       
WinRT Intellisense PPI - en-us                                 10.1.19041.5609  Microsoft Corporation       
WinRT Intellisense PPI - Other Languages                       10.1.19041.5609  Microsoft Corporation       
WinRT Intellisense UAP - en-us                                 10.1.19041.5609  Microsoft Corporation       
WinRT Intellisense UAP - Other Languages                       10.1.19041.5609  Microsoft Corporation       


